CDT_Time,bar_fence,R_Bulk_lconv_10_15,L_lconv_10,L_lconv_15,Term_3_lconv_10,Term_3_lconv_15
20:47:30,|,NaN,26988.829311907,NaN,0.000370523666826414,NaN
20:52:30,|,NaN,494.632727154299,NaN,0.0202170205306301,NaN
20:57:30,|,NaN,215.390188746309,NaN,0.0464273700589873,NaN
21:02:30,|,NaN,6.42399023692928,NaN,1.55666488135575,NaN
21:07:30,|,NaN,-64.6633231297258,NaN,-0.154647171162829,NaN
21:12:30,|,NaN,-744.607346817509,NaN,-0.0134298970359889,NaN
21:17:30,|,NaN,48.3291270355759,NaN,0.206914558846445,NaN
21:22:30,|,NaN,672.888662882462,NaN,0.0148612995754199,NaN
21:27:30,|,NaN,-29.2683533404604,NaN,-0.341665958575676,NaN
21:32:30,|,NaN,-135.288194131143,NaN,-0.0739162797184388,NaN
21:37:30,|,NaN,10074.2877959023,NaN,0.000992626000228771,NaN
21:42:30,|,NaN,-1355.09700737959,NaN,-0.00737954548312184,NaN
21:47:30,|,NaN,-1727.91549887205,NaN,-0.00578732004344415,NaN
21:52:30,|,NaN,-519.384456016563,NaN,-0.019253560410135,NaN
21:57:30,|,NaN,620.334687759933,NaN,0.0161203301980591,NaN
22:02:30,|,NaN,-144.15572383661,NaN,-0.0693694272683493,NaN
22:07:30,|,NaN,-144.139364573356,NaN,-0.0693773004314223,NaN
22:12:30,|,NaN,-45.7967909057128,NaN,-0.218355911019796,NaN
22:17:30,|,NaN,184.989799569729,NaN,0.0540570346216882,NaN
22:22:30,|,NaN,-70.5900809923669,NaN,-0.141662962549672,NaN
22:27:30,|,NaN,28.6051975484568,NaN,0.34958681837663,NaN
22:32:30,|,NaN,-44.9995642734675,NaN,-0.22222437397902,NaN
22:37:30,|,NaN,-144.342229039453,NaN,-0.0692797947388405,NaN
22:42:30,|,NaN,-146.064136328823,NaN,-0.0684630755457164,NaN
22:47:30,|,NaN,-187.885787421991,NaN,-0.0532238235643657,NaN
22:52:30,|,NaN,-694.020031631967,NaN,-0.0144088060059092,NaN
22:57:30,|,NaN,-147.26683082006,NaN,-0.0679039532820437,NaN
23:02:30,|,NaN,-817.272256868835,NaN,-0.0122358246177503,NaN
23:07:30,|,NaN,-291.3085573368,NaN,-0.0343278621521522,NaN
23:12:30,|,NaN,-153.260003738845,NaN,-0.0652485955633932,NaN
23:17:30,|,NaN,-238.320490922701,NaN,-0.0419603029570944,NaN
23:22:30,|,NaN,-89.7882321477536,NaN,-0.111373169521193,NaN
23:27:30,|,NaN,-159.613720791001,NaN,-0.0626512554838193,NaN
23:32:30,|,NaN,-173.019437826011,NaN,-0.0577969742917326,NaN
23:37:30,|,NaN,-9.05124452389531,NaN,-1.10482044470238,NaN
23:42:30,|,NaN,NaN,NaN,NaN,NaN
23:47:30,|,NaN,NaN,NaN,NaN,NaN
23:52:30,|,NaN,NaN,NaN,NaN,NaN
23:57:30,|,NaN,NaN,NaN,NaN,NaN
00:02:30,|,NaN,NaN,NaN,NaN,NaN
00:07:30,|,NaN,NaN,NaN,NaN,NaN
00:12:30,|,NaN,NaN,NaN,NaN,NaN
00:17:30,|,NaN,NaN,NaN,NaN,NaN
00:22:30,|,NaN,NaN,NaN,NaN,NaN
00:27:30,|,NaN,NaN,NaN,NaN,NaN
00:32:30,|,NaN,NaN,NaN,NaN,NaN
00:37:30,|,NaN,NaN,NaN,NaN,NaN
00:42:30,|,NaN,NaN,NaN,NaN,NaN
00:47:30,|,NaN,NaN,NaN,NaN,NaN
00:52:30,|,NaN,NaN,NaN,NaN,NaN
00:57:30,|,NaN,NaN,NaN,NaN,NaN
01:02:30,|,NaN,NaN,NaN,NaN,NaN
01:07:30,|,NaN,NaN,NaN,NaN,NaN
01:12:30,|,NaN,NaN,NaN,NaN,NaN
01:17:30,|,NaN,NaN,NaN,NaN,NaN
01:22:30,|,NaN,NaN,NaN,NaN,NaN
01:27:30,|,NaN,NaN,NaN,NaN,NaN
01:32:30,|,NaN,NaN,NaN,NaN,NaN
01:37:30,|,NaN,NaN,NaN,NaN,NaN
01:42:30,|,NaN,NaN,NaN,NaN,NaN
01:47:30,|,NaN,NaN,NaN,NaN,NaN
01:52:30,|,NaN,NaN,NaN,NaN,NaN
01:57:30,|,NaN,NaN,NaN,NaN,NaN
02:02:30,|,NaN,NaN,NaN,NaN,NaN
02:07:30,|,NaN,NaN,NaN,NaN,NaN
02:12:30,|,NaN,NaN,NaN,NaN,NaN
02:17:30,|,NaN,NaN,NaN,NaN,NaN
02:22:30,|,NaN,NaN,NaN,NaN,NaN
02:27:30,|,NaN,NaN,NaN,NaN,NaN
02:32:30,|,NaN,NaN,NaN,NaN,NaN
02:37:30,|,NaN,NaN,NaN,NaN,NaN
02:42:30,|,NaN,NaN,NaN,NaN,NaN
02:47:30,|,NaN,NaN,NaN,NaN,NaN
02:52:30,|,NaN,NaN,NaN,NaN,NaN
02:57:30,|,NaN,NaN,NaN,NaN,NaN
03:02:30,|,NaN,NaN,NaN,NaN,NaN
03:07:30,|,NaN,NaN,NaN,NaN,NaN
03:12:30,|,NaN,NaN,NaN,NaN,NaN
03:17:30,|,NaN,NaN,NaN,NaN,NaN
03:22:30,|,NaN,NaN,NaN,NaN,NaN
03:27:30,|,NaN,NaN,NaN,NaN,NaN
03:32:30,|,NaN,NaN,NaN,NaN,NaN
03:37:30,|,NaN,NaN,NaN,NaN,NaN
03:42:30,|,NaN,NaN,NaN,NaN,NaN
03:47:30,|,NaN,NaN,NaN,NaN,NaN
03:52:30,|,NaN,NaN,NaN,NaN,NaN
03:57:30,|,NaN,NaN,NaN,NaN,NaN
04:02:30,|,NaN,NaN,NaN,NaN,NaN
04:07:30,|,NaN,NaN,NaN,NaN,NaN
04:12:30,|,NaN,NaN,NaN,NaN,NaN
04:17:30,|,NaN,NaN,NaN,NaN,NaN
04:22:30,|,NaN,NaN,NaN,NaN,NaN
04:27:30,|,NaN,NaN,NaN,NaN,NaN
04:32:30,|,NaN,NaN,NaN,NaN,NaN
04:37:30,|,NaN,NaN,NaN,NaN,NaN
04:42:30,|,NaN,NaN,NaN,NaN,NaN
04:47:30,|,NaN,NaN,NaN,NaN,NaN
04:52:30,|,NaN,NaN,NaN,NaN,NaN
04:57:30,|,NaN,NaN,NaN,NaN,NaN
05:02:30,|,NaN,NaN,NaN,NaN,NaN
05:07:30,|,NaN,NaN,NaN,NaN,NaN
05:12:30,|,NaN,NaN,NaN,NaN,NaN
05:17:30,|,NaN,NaN,NaN,NaN,NaN
05:22:30,|,NaN,NaN,NaN,NaN,NaN
05:27:30,|,NaN,NaN,NaN,NaN,NaN
05:32:30,|,NaN,NaN,NaN,NaN,NaN
05:37:30,|,NaN,NaN,NaN,NaN,NaN
05:42:30,|,NaN,NaN,NaN,NaN,NaN
05:47:30,|,NaN,NaN,NaN,NaN,NaN
05:52:30,|,NaN,NaN,NaN,NaN,NaN
05:57:30,|,NaN,NaN,NaN,NaN,NaN
06:02:30,|,NaN,NaN,NaN,NaN,NaN
06:07:30,|,NaN,NaN,NaN,NaN,NaN
06:12:30,|,NaN,NaN,NaN,NaN,NaN
06:17:30,|,NaN,NaN,NaN,NaN,NaN
06:22:30,|,NaN,NaN,NaN,NaN,NaN
06:27:30,|,NaN,NaN,NaN,NaN,NaN
06:32:30,|,NaN,NaN,NaN,NaN,NaN
06:37:30,|,NaN,NaN,NaN,NaN,NaN
06:42:30,|,NaN,NaN,NaN,NaN,NaN
06:47:30,|,NaN,NaN,NaN,NaN,NaN
06:52:30,|,NaN,NaN,NaN,NaN,NaN
06:57:30,|,NaN,NaN,NaN,NaN,NaN
